"variable","contribution","variable_name","variable_value","sign","label","B"
"CPV_agrupado = Group 02: Medical Equipment",-0.0217012814847548,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",21
"execution_dummy = 0",0.00192222713212547,"execution_dummy","0",1,"RF",21
"covid_pandemic = 1",-0.000729120636323453,"covid_pandemic","1",-1,"RF",21
"bidders = 16",-0.00437030490499334,"bidders","16",-1,"RF",21
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",21
"environmental = 0",0,"environmental","0",0,"RF",21
"ln_base_price = 9.742",0.00203269995581089,"ln_base_price","9.742",1,"RF",22
"CPV_agrupado = Group 02: Medical Equipment",-0.00923110914714982,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",22
"act_type = Standard Procedure Notice",-8.83782589483108e-06,"act_type","Standard Procedure Notice",-1,"RF",22
"contract_year = 2022",-0.000397702165267343,"contract_year","2022",-1,"RF",22
"execution_dummy = 0",-0.000349094122845781,"execution_dummy","0",-1,"RF",22
"covid_pandemic = 1",-0.000649580203269992,"covid_pandemic","1",-1,"RF",22
"loc = PT17",0.00204595669465309,"loc","PT17",1,"RF",22
"bidders = 16",-0.0041228457799381,"bidders","16",-1,"RF",22
"environmental = 0",0,"environmental","0",0,"RF",22
"ln_base_price = 9.742",0.00203269995581089,"ln_base_price","9.742",1,"RF",23
"contract_year = 2022",0.00433053468846662,"contract_year","2022",1,"RF",23
"execution_dummy = 0",0.00430402121078217,"execution_dummy","0",1,"RF",23
"CPV_agrupado = Group 02: Medical Equipment",-0.0184622182942996,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",23
"loc = PT17",0.00221387538665485,"loc","PT17",1,"RF",23
"environmental = 0",0,"environmental","0",0,"RF",23
"covid_pandemic = 1",-0.000729120636323453,"covid_pandemic","1",-1,"RF",23
"bidders = 16",-0.00437030490499334,"bidders","16",-1,"RF",23
"act_type = Standard Procedure Notice",0,"act_type","Standard Procedure Notice",0,"RF",23
"covid_pandemic = 1",0.000923552806009725,"covid_pandemic","1",1,"RF",24
"execution_dummy = 0",0.00207688908528502,"execution_dummy","0",1,"RF",24
"ln_base_price = 9.742",0.00313742819266462,"ln_base_price","9.742",1,"RF",24
"environmental = 0",0,"environmental","0",0,"RF",24
"act_type = Standard Procedure Notice",-0.000517012814847558,"act_type","Standard Procedure Notice",-1,"RF",24
"contract_year = 2022",0.00799381352187363,"contract_year","2022",1,"RF",24
"CPV_agrupado = Group 02: Medical Equipment",-0.0222182942996023,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",24
"loc = PT17",0.00204595669465309,"loc","PT17",1,"RF",24
"bidders = 16",-0.0041228457799381,"bidders","16",-1,"RF",24
"ln_base_price = 9.742",0.00203269995581089,"ln_base_price","9.742",1,"RF",25
"environmental = 0",1.3256738842244e-05,"environmental","0",1,"RF",25
"act_type = Standard Procedure Notice",-0.000799823243482109,"act_type","Standard Procedure Notice",-1,"RF",25
"covid_pandemic = 1",0.00122845779938136,"covid_pandemic","1",1,"RF",25
"CPV_agrupado = Group 02: Medical Equipment",-0.0101369863013699,"CPV_agrupado","Group 02: Medical Equipment",-1,"RF",25
"execution_dummy = 0",-0.00107821475916924,"execution_dummy","0",-1,"RF",25
"contract_year = 2022",0.000136986301369863,"contract_year","2022",1,"RF",25
"bidders = 16",-0.00207688908528501,"bidders","16",-1,"RF",25
"loc = PT17",0,"loc","PT17",0,"RF",25
