"act_type","base_price","causes_deadline_changes","causes_price_changes","centralized_procedure","contract_close_date","contract_date","Exectution","execution_dummy","contractual_modifications","contractual_price","effective_total_price","Variation_price","environmental_criteria","environmental","execution_period","procedure_type","cpvs","competing_entities","contract_year","contract_month","contract_day","covid_pandemic","nipcs","Location","loc","cpvPrincipal_2chars","cpv_descricao","CPV_agrupado","bidders","ln_effective_total_price","ln_base_price","contract_year_centered","contract_year_sq","efficiency","custo_aumentou","risk_prob","price_sim_rf"
"Standard Procedure Notice",169785,"-","-","-",2020-10-30,2020-08-03,88,1,"-",20,20,0,"-",0,150,"Concurso público","33696500-0, Reagentes de laboratório","Fisher Scientific, Lda (506429210),WERFEN PORTUGAL LDA (501086110),KNOW-HOW DIAGNOSTICOS (509884296),VWR INTERNATIONAL-MAT LABORATORIO,LDA (503842770),SOQUIMICA - Sociedade de Representações de Química, Lda. (500274231),ROCHE SISTEMAS DE DIAGNOSTICOS LDA SOCIEDADE UNIPESSOAL (504282921),BATISTA MARQUES DIAGNOSTICA E REAGENTES (501439110),Alfagene, Novas Tecnologias das Ciências da Vida, Lda. (503387398),Master-inVitro-Com. Productos Médicos, Lda. (515007897),I.L.C.- INSTRUMENTOS DE LABORATÓRIO E CIENTÍFICOS, LDA. (500948208),Nzytech, Lda ­ genes & enzymes (508432901),Lusopalex - Unip. Lda (503531588),Labor Spirit, Lda (507485149),BioPortugal - Quimico Farmaceutica, Lda (502380543)",2020,8,3,1,"501427511","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",24,2.99573227355399,12.0422940995191,-1.39637649138308,1.94986730568732,0.000138903881193524,0,0,20
"Standard Procedure Notice",20977.94,"-","-","-",2018-11-14,2018-02-22,265,1,"-",20,20,0,"-",0,311,"Concurso público","33140000-3, Material médico de consumo","AVIQUIMICA IMPORT E MANUFATURA (500039720),QUILABAN-QUIM LAB ANALITICA, S.A. (500399670),3M España, S.L., Sucursal em Portugal (980560241),HR HOSPITALAR,Unipessoal, LDA (501895558),LINEAMÉDICA-DISPOSITIVOS MÉDICOS-CIRUGICOS, SA (505148676),Optifar (501609377),Docworld, Lda (508592909),VYGON (PORTUGAL),LDA. (503232785),EPJMEDICA - ARTIGOS MÉDICOS HOSPITALARES (506820513),Oftaldata, Produtos para Oftalmologia, Ld.ª (504887459),ALCON PORTUGAL-PROD.EQUIP.OFTALM., LDA (501251685),OVERPHARMA PROD MEDICOS E FARMACEUTICOS LDA (505792362),PMH-PROD.MEDICO-HOSPITALARES (502376899),DPSO - DISTRIB. PRODUTOS SAUDE OCULAR, LDA. (513689818),J.M.V. - SOC. COM. REPRESENTAÇOES, LDA. (501887148),TELEFLEX MEDICAL, SAU (EX-ARROW IBÉRICA, SA) (980249783),EZEQUIEL PANAO JORGE, LDA (501412727),Bastos Viegas (500042772),MUNDINTER INTERC. MUNDIAL COMERC., SA (500199906),HOSPITEX MATERIAL HOSPITALAR,LDA (501909842),PAUL HARTMANN (502271728),MEDTRONIC PORTUGAL, LDA (504223933),ANASTACIO SALDANHA, UNIPESSOAL (505804441),B.BRAUN (501506543)",2018,2,22,0,"600000052","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",44,2.99573227355399,9.95127435636503,-3.39637649138308,11.5353732712196,0.00101136375370518,0,0,20
"Standard Procedure Notice",61074.3,"-","-","-",2017-03-08,2017-02-14,22,1,"-",20,20,0,"-",0,30,"Concurso público","30200000-1, Equipamento e material informático","-",2017,2,14,0,"509540716","PT170","PT17","30","Máquinas, equipamento e material de escritório e de informática, excepto mobiliário e pacotes de programas (software)","Group 03: Equipment and Materials",1,2.99573227355399,11.0198628081073,-4.39637649138308,19.3281262539858,0.000292330217702041,0,0,20
"Standard Procedure Notice",15904.45,"O prazo para a execução física foi alargado, por forma a prolongar o prazo de validade dos reagentes em stock, de acordo com as necessidades dos Laboratórios do INSA, I.P.","-","-",2021-12-15,2021-10-19,57,0,"-",21.2,21.2,0,"-",0,27,"Concurso público","33696500-0, Reagentes de laboratório","Izasa Scientific, Lda. (513252088),Bio-Rad Laboratories, Lda (501301321),Alfagene, Novas Tecnologias Ciências da Vida, LDA (503387398),Frilabo II, Lda. (507958861),Normax - Fábrica de vidros científicos, Lda. (500203130),VWR Internacional – Material de Laboratório, Lda. (503842770),José Manuel Gomes dos Santos, Lda (501399224),QUILABAN - QUIMICA LABORATORIAL (500399670),Nzytech, Lda ­ genes & enzymes (508432901),LABORSPIRIT, LDA (507485149),ILC - Instrumentos de Laboratório e Científicos, Lda. (500948208)",2021,10,19,1,"501427511","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",22,3.05400118167797,9.67441709677263,-0.39637649138308,0.157114322921161,0.00132987936912006,0,0,21.2
"Standard Procedure Notice",77109.89,"-","-","-",2023-11-24,2023-05-29,179,1,"-",29.5,29.5,0,"-",0,366,"Concurso público","33140000-3, Material médico de consumo","MEDIKA, TECNOLOGIA MEDICINAL, LDA (514046643),BRAMÉDICA FISIO - PRODUTOS DE SAÚDE, LDA. (508560152),MEDLINE (510533515),H.R. Hospitalar, Lda (501895558),EUROCASMEDICA (503322105),BASTOS VIEGAS (500042772),GLSMED TRADE, S.A (513515119),VIRTUGAL (510113923),DOUROMED (505140292),Anastácio Saldanha Unipessoal, Lda (505804441),AVIQUIMICA-IMPORTAÇÕES E MANUFACTURAS, LDA. (500039720),SPECULUM (502996323),PAUL HARTMANN (502271728),Vicis Vita - Equipamentos e Consumiveis Emergência Unipessoal, Lda (515387134),B. BRAUN MEDICAL, LDA (501506543),EXPOMEDICA (501886621),TEK4LIFE MED, LDA. (516110616),INTERSURGICAL (503480045),Feiramédica - Importação e Comércio de Equipamento (503731900),HELDER GONÇALVES - ASSISTÊNCIA TÉCNICA DE EQUIPAMENTOS, LDA. (503855421),SORISA - ESTÉTICA E FISIOTERAPIA, S.A. (500990441),SALUTEC-SERVIÇOS E EQUIPAMENTOS DE SAUDE, LDA (506380408),MEDIRM (507162773),FILSAT - EQUIPAMENTOS MÉDICO-CIENTÍFICOS, LDA. (506708616),Bacelar e Irmao (500532818)",2023,5,29,0,"503135593","PT11","PT11","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",39,3.38439026334577,11.2529997947135,1.60362350861692,2.57160835738884,0.000315564973274351,0,0,29.5
"Standard Procedure Notice",20977.94,"-","-","-",2018-08-24,2018-02-22,183,1,"-",30,30,0,"-",0,311,"Concurso público","33140000-3, Material médico de consumo","ANASTACIO SALDANHA, UNIPESSOAL (505804441),LINEAMÉDICA-DISPOSITIVOS MÉDICOS-CIRUGICOS, SA (505148676),Bastos Viegas (500042772),PMH-PROD.MEDICO-HOSPITALARES (502376899),3M España, S.L., Sucursal em Portugal (980560241),DPSO - DISTRIB. PRODUTOS SAUDE OCULAR, LDA. (513689818),TELEFLEX MEDICAL, SAU (EX-ARROW IBÉRICA, SA) (980249783),B.BRAUN (501506543),OVERPHARMA PROD MEDICOS E FARMACEUTICOS LDA (505792362),ALCON PORTUGAL-PROD.EQUIP.OFTALM., LDA (501251685),HOSPITEX MATERIAL HOSPITALAR,LDA (501909842),Oftaldata, Produtos para Oftalmologia, Ld.ª (504887459),QUILABAN-QUIM LAB ANALITICA, S.A. (500399670),MEDTRONIC PORTUGAL, LDA (504223933),Docworld, Lda (508592909),J.M.V. - SOC. COM. REPRESENTAÇOES, LDA. (501887148),AVIQUIMICA IMPORT E MANUFATURA (500039720),EZEQUIEL PANAO JORGE, LDA (501412727),MUNDINTER INTERC. MUNDIAL COMERC., SA (500199906),Optifar (501609377),HR HOSPITALAR,Unipessoal, LDA (501895558),EPJMEDICA - ARTIGOS MÉDICOS HOSPITALARES (506820513),PAUL HARTMANN (502271728),VYGON (PORTUGAL),LDA. (503232785)",2018,2,22,0,"600000052","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",44,3.40119738166216,9.95127435636503,-3.39637649138308,11.5353732712196,0.00150997740406401,0,0,30
"Standard Procedure Notice",109645.89,"-","-","-",2018-12-21,2018-11-12,39,1,"-",31.5,31.5,0,"-",0,213,"Concurso público","33696500-0, Reagentes de laboratório","BioMérieux (501524177),ILC - INSTRUMENTOS DE LABORAT. E CI (500948208),QUILABAN QUIMICA LAB ANALITICA (500399670),VWR International - Material de Laboratório, Lda. (503842770),Frilabo II, Lda. (507958861),Bio-Rad Laboratories, Lda. (501301321),IBERLAB & IMUNOREAGE LDA (503406694),PVL - Produtos para Laboratório, Lda. (501411852),BIOGERM, SA (503265390),HEMICARE- Health Medical Care (506517080),JOSE MANUEL GOMES SANTOS LDA (501399224),CSP Saúde - Centro Serviços Partilhados, SA (508440246),Fisher Scientific, Lda. (506429210),Know-How, Lda (509884296)",2018,11,12,0,"503122165","PT16F","PT16","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",22,3.44998754583159,11.6050203904707,-3.39637649138308,11.5353732712196,0.0003401508570849,0,0,31.5
"Standard Procedure Notice",168126.87,"-","-","-",2023-01-13,2022-04-12,276,1,"Lista das modificações contratuais",33.46,133.84,3,"-",0,365,"Concurso público","33140000-3, Material médico de consumo","MEDLINE INTERNACIONAL PORTUGAL UNIPESSOAL, LDA (510533515),Eurosafe - Unipessoal, Lda (505826801),Oxray, Lda (508930014),MOLNLYCKE HEALTH CARE COM PROD HOSPITALARES, LDA (511101066),FILSAT EQUIPAMENTOS MEDICO CIENTIFICOS LDA (506708616),EZEQUIEL PANAO JORGE (501412727),EZEQUIEL PANAO JORGE (506820513),HELDER GONÇALVES (503855421),FACTOR PLUS, SA (502810645),PPTEX-INDUSTRIA TEXTIL, LDA (514863471),EUROCASMEDICA - PRODUTOS HOSPITALARES,SA (503322105),Salutec - Serviços e Equipamentos de Saúde. Ldª (506380408),PAUL HARTMANN, LDA (502271728),LINEAMEDICA-DISPOSITIVOS MEDICOS-CIRUGICOS, SA (505148676),SPECULUM (502996323),Overpharma, Lda. (505792362),M.U.C.- MATERIAL DE UTILIDADE CLÍNICA, LDA. (502379308),H.R Hospitalar Lda (501895558),USV MED, Lda (516125885),ESTERIPLAS (502020776),ANASTÁCIO SALDANHA, UNIPESSOAL, LDA. (505804441),Bastos Viegas S.A. (500042772),BOSTON SCIENTIFIC PORTUGAL LDA (504988964),OASIPOR - IMP. EXP., LDA (502260750),RACLAC, S.A. (507992822),DIMOR LUSITANA, LDA (500730741),ANTAO MEDICAL (507754468),Medirm - Fabrico e Comércio de Dispositivos Médicos, Lda (507162773),BATIST MEDICAL PORTUGAL, UNIP., LDA (EX-DOCWORLD) (508592909)",2022,4,12,1,"503122165","PT16F","PT16","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",49,4.89664505667857,12.0324800998245,0.60362350861692,0.364361340155001,0.00076465677822744,0,0,133.84
"Standard Procedure Notice",52028.42,"31-12-2023","Diminuição de consumo","-",2023-01-31,2023-01-17,14,1,"-",33.5,33.5,0,"-",0,366,"Concurso público","33600000-6, Produtos farmacêuticos","SIDEFARMA - Soc. Exp. Farmacêutica, (500717419),ALLOGA LOGIFARMA, SA (503934640),GLAXOSMITHKLINE CONSUMER (500276994),JOHNSON & JOHNSON, LDA (500153370),ESTERIPLAS (502020776),Mylan, Lda (502248793),CSL BEHRING (503047201),H.R. - HOSPITALAR, LDA (501895558),Fresenius Kabi Pharma Portugal, Lda. (504293753),GENERIS - FARMACEUTICA SA (508107997),THEA PORTUGAL, S.A. (507978358),LAB. PFIZER, LDA. (500162166),Clinifar-Produtos Clínicos e Farmacêuticos, S.A (503281115),LABESFAL - LABORATÓRIOS ALMIRO, S.A. (501169580),UCB PHARMA (PRODUTOS FARMACÊUTICOS), LIMITADA (500291322),SPC – South Point Care – Especialidades Farmacêuticas, Lda. (508284872),SANDOZ FARMACÊUTICA, LDA. (506985261),Octapharma-Prod Farmacêuticos, Lda (502820780),Overpharma - Produtos Médicos e Farmacêuticos, Lda. (505792362),BDRPharma, Lda (513077332),BAXTER MEDICO FARMACEUTICA LDA (503347345),Proclinica-Equipamentos e Produtos Clínicos, Lda (500222665),TEVA PHARMA - PRODUTOS FARMACEUTICOS,LDA (507045491),Imporquímica (502473274),NOVO NORDISK PORTUGAL, LDA. (501485210),B Braun Medical, Lda (501506543)",2023,1,17,1,"509186998","PT170","PT17","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",46,3.51154543883102,10.8595646068073,1.60362350861692,2.57160835738884,0.000511852221830859,0,0,33.5
"Standard Procedure Notice",53040.66,"-","-","-",2022-05-13,2022-02-17,85,1,"-",35.6,35.6,0,"-",0,517,"Concurso público","33600000-6, Produtos farmacêuticos","Next Pharma, Lda (510810454),GesundLab Industries, Lda (516423860),B BRAUN MEDICAL, LDA. (501506543),Medinfar (500384045),Quilaban (500399670),Overpharma, Produtos Médicos e Farmacêuticos, Lda. (505792362),MED TRUST (510862993),BASTOS VIEGAS S A (500042772),MYLAN LDA (502248793),Roche Sistemas de Diagnósticos, Lda (504282921),PROCLIN. - EQUIPAMENTOS E PRODUTOS CLINICOS (500222665),VYGON (PORTUGAL) - PRODUTOS MEDICOS E FARMACÊUTICOS, LDA (503232785)",2022,2,17,1,"503135593","PT11","PT11","33","Equipamento médico, medicamentos e produtos para cuidados pessoais","Group 02: Medical Equipment",19,3.57234563785798,10.8788329215042,0.60362350861692,0.364361340155001,0.000640613598876741,0,0,35.6
